layer triggercelleta triggercellphi triggercellieta triggercelliphi
37.0 -1.6349167823791504 -2.4652774333953857 -11 129
37.0 -1.5924427509307861 -2.4652774333953857 -12 129
37.0 -1.5500643253326416 -2.4652774333953857 -13 129
37.0 -1.5077884197235107 -2.4652774333953857 -14 129
37.0 -1.4762226343154907 -2.4652774333953857 -15 129
37.0 -1.7095222473144531 -2.4216442108154297 -9 128
37.0 -1.6774797439575195 -2.4216442108154297 -10 128
37.0 -1.6349167823791504 -2.4216442108154297 -11 128
37.0 -1.5924427509307861 -2.4216442108154297 -12 128
37.0 -1.5500643253326416 -2.4216442108154297 -13 128
37.0 -1.5077884197235107 -2.4216442108154297 -14 128
37.0 -1.4762226343154907 -2.4216442108154297 -15 128
37.0 -1.7095222473144531 -2.3780109882354736 -9 127
37.0 -1.67747962474823 -2.3780109882354736 -10 127
37.0 -1.63491690158844 -2.3780109882354736 -11 127
37.0 -1.5924427509307861 -2.3780109882354736 -12 127
37.0 -1.5500643253326416 -2.3780109882354736 -13 127
37.0 -1.5077884197235107 -2.3780109882354736 -14 127
37.0 -1.4762226343154907 -2.3780109882354736 -15 127
37.0 -1.7095222473144531 -2.3343777656555176 -9 126
37.0 -1.6774797439575195 -2.3343777656555176 -10 126
37.0 -1.6349167823791504 -2.3343777656555176 -11 126
37.0 -1.5924427509307861 -2.3343777656555176 -12 126
37.0 -1.5500643253326416 -2.3343777656555176 -13 126
37.0 -1.5077884197235107 -2.3343777656555176 -14 126
37.0 -1.4762227535247803 -2.3343777656555176 -15 126
37.0 -1.7095222473144531 -2.2907445430755615 -9 125
37.0 -1.67747962474823 -2.2907445430755615 -10 125
37.0 -1.63491690158844 -2.2907445430755615 -11 125
37.0 -1.5500643253326416 -2.2907445430755615 -13 125
37.0 -1.5077884197235107 -2.2907445430755615 -14 125
37.0 -1.4762226343154907 -2.2907445430755615 -15 125
37.0 -1.5924427509307861 -2.2907443046569824 -12 125
37.0 -1.7095222473144531 -2.2471113204956055 -9 124
37.0 -1.6774797439575195 -2.2471113204956055 -10 124
37.0 -1.63491690158844 -2.2471113204956055 -11 124
37.0 -1.5924427509307861 -2.2471113204956055 -12 124
37.0 -1.5500643253326416 -2.2471113204956055 -13 124
37.0 -1.5077884197235107 -2.2471113204956055 -14 124
37.0 -1.4762226343154907 -2.2471113204956055 -15 124
37.0 -1.7095222473144531 -2.2034780979156494 -9 123
37.0 -1.6774797439575195 -2.2034780979156494 -10 123
37.0 -1.63491690158844 -2.2034780979156494 -11 123
37.0 -1.5924427509307861 -2.2034780979156494 -12 123
37.0 -1.5500643253326416 -2.2034780979156494 -13 123
37.0 -1.5077884197235107 -2.2034780979156494 -14 123
37.0 -1.4762227535247803 -2.2034780979156494 -15 123
37.0 -1.7095222473144531 -2.1598448753356934 -9 122
37.0 -1.6774797439575195 -2.1598448753356934 -10 122
37.0 -1.63491690158844 -2.1598448753356934 -11 122
37.0 -1.5924427509307861 -2.1598448753356934 -12 122
37.0 -1.5500643253326416 -2.1598448753356934 -13 122
37.0 -1.5077884197235107 -2.1598448753356934 -14 122
37.0 -1.4762226343154907 -2.1598448753356934 -15 122
37.0 -1.7095222473144531 -2.116211414337158 -9 121
